Attrition,BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsSinceLastPromotion,Attrition_bin,OverTime_bin,BusinessTravel_ord
No,Travel_Rarely,Research & Development,3,3,5,3,19094,No,11,4,1,2,4,0,0,1
Yes,Travel_Frequently,Research & Development,2,1,1,1,3919,Yes,22,2,0,3,6,1,1,2
No,Travel_Rarely,Sales,3,3,2,2,6825,No,11,4,1,3,4,0,0,1
No,Travel_Rarely,Research & Development,1,2,3,4,10248,No,14,4,1,3,5,0,0,1
No,Travel_Rarely,Sales,2,3,5,1,18947,No,12,4,0,2,2,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,2496,No,11,4,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,4,6465,Yes,13,4,0,4,1,0,1,1
No,Travel_Rarely,Research & Development,4,2,1,3,2206,No,13,1,0,3,1,0,0,1
Yes,Travel_Rarely,Sales,4,3,2,4,2086,No,14,3,1,4,0,1,0,1
Yes,Travel_Rarely,Research & Development,2,3,1,4,2293,Yes,16,1,1,2,2,1,1,1
No,Travel_Rarely,Research & Development,4,4,1,3,2645,No,12,4,2,2,1,0,0,1
Yes,Travel_Rarely,Sales,1,2,1,3,2683,Yes,14,3,0,3,0,1,1,1
No,Travel_Rarely,Sales,4,3,1,4,2014,No,13,1,0,3,2,0,0,1
No,Travel_Rarely,Research & Development,2,2,1,1,3419,Yes,14,4,1,4,0,0,1,1
No,Travel_Frequently,Sales,3,4,2,1,5376,No,19,1,2,3,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,4,1951,No,12,3,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,1,2341,No,13,4,1,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,1,1,1,3,2293,No,12,3,0,2,0,1,0,1
No,Travel_Frequently,Sales,4,3,3,3,8726,No,15,4,0,3,1,0,0,2
No,Travel_Frequently,Research & Development,3,3,2,4,4011,No,23,4,0,3,3,0,0,2
Yes,Travel_Rarely,Research & Development,2,3,5,3,19545,No,12,4,0,3,15,1,0,1
No,Non-Travel,Sales,2,3,2,3,4568,No,20,3,0,3,8,0,0,0
No,Travel_Rarely,Research & Development,2,3,1,2,3022,No,21,1,0,3,0,0,0,1
No,Travel_Frequently,Sales,1,3,2,4,5772,Yes,21,3,0,3,0,0,1,2
No,Travel_Rarely,Research & Development,4,4,1,4,2269,No,19,4,0,3,0,0,0,1
Yes,Travel_Rarely,Research & Development,1,2,3,3,5381,Yes,13,4,0,3,0,1,1,1
Yes,Travel_Rarely,Research & Development,3,3,1,3,3441,Yes,13,3,0,2,2,1,1,1
No,Travel_Rarely,Sales,2,3,2,1,5454,Yes,21,3,1,2,1,0,1,1
No,Non-Travel,Research & Development,3,2,3,1,9884,Yes,13,3,1,3,2,0,1,0
No,Travel_Rarely,Sales,3,2,2,4,4157,Yes,19,3,1,2,0,0,1,1
No,Travel_Frequently,Research & Development,1,3,3,4,13458,Yes,12,3,0,3,8,0,1,2
No,Travel_Frequently,Sales,2,3,3,1,9069,No,22,4,1,2,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,1,4014,Yes,15,3,1,3,2,0,1,1
No,Travel_Rarely,Research & Development,4,3,2,4,5915,No,22,4,1,2,1,0,0,1
No,Travel_Rarely,Research & Development,1,2,2,3,5993,No,18,3,1,4,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,2,4,6162,Yes,22,2,1,3,7,0,1,1
No,Travel_Frequently,Research & Development,4,3,2,4,2406,No,11,4,0,3,9,0,0,2
No,Travel_Rarely,Research & Development,2,2,5,3,18740,Yes,12,4,1,2,13,0,1,1
No,Travel_Rarely,Sales,1,3,3,1,7637,No,11,4,0,2,7,0,0,1
No,Travel_Rarely,Research & Development,3,3,3,3,10096,No,13,2,3,3,12,0,0,1
No,Travel_Rarely,Research & Development,4,3,4,3,14756,Yes,14,3,3,3,0,0,1,1
No,Travel_Frequently,Research & Development,2,2,2,2,6499,No,13,3,0,3,0,0,0,2
No,Travel_Rarely,Research & Development,2,3,3,1,9724,No,17,3,1,3,0,0,0,1
No,Travel_Frequently,Research & Development,2,3,1,1,2194,No,13,4,1,2,1,0,0,2
Yes,Travel_Rarely,Research & Development,4,2,1,3,3388,Yes,17,1,1,2,0,1,1,1
No,Travel_Frequently,Sales,1,2,2,3,5473,No,11,4,0,2,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,2,2703,No,23,4,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,2,2501,No,17,2,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,2,3,2,2,6220,No,17,2,2,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,4,1,4,3038,No,12,2,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,4,4424,No,23,4,0,3,1,0,0,1
No,Travel_Rarely,Sales,3,2,2,1,4312,No,14,2,0,3,2,0,0,1
No,Travel_Rarely,Research & Development,4,3,3,1,13245,Yes,14,2,0,4,0,0,1,1
No,Travel_Rarely,Research & Development,1,3,3,3,13664,No,13,1,0,4,0,0,0,1
No,Travel_Rarely,Human Resources,2,3,2,2,5021,Yes,22,4,1,3,0,0,1,1
No,Travel_Rarely,Research & Development,4,2,2,4,5126,Yes,12,3,2,2,3,0,1,1
No,Travel_Rarely,Research & Development,2,2,1,3,2859,No,18,1,0,3,0,0,0,1
No,Travel_Rarely,Sales,1,3,3,4,10239,No,14,4,1,3,1,0,0,1
No,Non-Travel,Research & Development,2,1,2,4,5329,Yes,12,4,3,3,1,0,1,0
No,Travel_Rarely,Research & Development,1,3,2,2,4325,No,15,3,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,1,3,4,7260,No,11,1,0,2,0,0,0,1
No,Travel_Rarely,Sales,3,3,1,1,2322,No,13,3,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,4,2075,No,23,2,2,3,0,0,0,1
No,Travel_Rarely,Research & Development,3,2,2,4,4152,No,19,1,3,3,10,0,0,1
Yes,Travel_Rarely,Sales,3,2,3,4,9619,No,16,4,0,3,4,1,0,1
No,Travel_Frequently,Research & Development,3,2,4,2,13503,No,22,4,1,2,11,0,0,2
No,Travel_Rarely,Sales,3,3,2,4,5441,Yes,22,4,0,1,1,0,1,1
No,Travel_Rarely,Sales,3,2,2,2,5209,Yes,12,2,3,2,2,0,1,1
No,Travel_Frequently,Research & Development,3,2,3,1,10673,Yes,13,3,1,2,9,0,1,2
No,Travel_Rarely,Sales,2,3,2,3,5010,No,16,1,0,3,5,0,0,1
No,Travel_Rarely,Research & Development,1,3,3,3,13549,No,12,1,1,1,0,0,0,1
No,Travel_Rarely,Sales,1,3,2,3,4999,No,21,1,1,2,0,0,0,1
No,Non-Travel,Sales,2,3,2,3,4221,No,15,2,0,4,0,0,0,0
No,Travel_Rarely,Sales,4,3,4,3,13872,No,13,3,0,2,1,0,0,1
No,Non-Travel,Research & Development,2,3,2,2,2042,No,12,3,1,4,1,0,0,0
Yes,Travel_Rarely,Human Resources,3,3,1,1,2073,Yes,22,4,0,3,0,1,1,1
No,Travel_Rarely,Research & Development,4,3,1,1,2956,No,13,4,0,3,0,0,0,1
Yes,Travel_Frequently,Research & Development,4,2,1,4,2926,Yes,18,2,0,3,1,1,1,2
No,Travel_Rarely,Research & Development,1,3,2,3,4809,No,14,3,0,3,2,0,0,1
No,Non-Travel,Research & Development,3,2,2,4,5163,No,14,4,1,4,0,0,0,0
No,Non-Travel,Human Resources,3,2,5,4,18844,No,21,4,1,3,2,0,0,0
No,Travel_Frequently,Research & Development,1,3,5,2,18172,Yes,19,1,0,2,0,0,1,2
Yes,Travel_Rarely,Sales,3,2,2,3,5744,Yes,11,4,0,3,0,1,1,1
No,Travel_Rarely,Research & Development,4,2,1,4,2889,No,11,3,2,3,2,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,4,2871,No,15,3,0,3,0,0,0,1
No,Travel_Frequently,Research & Development,1,2,3,1,7484,No,20,3,0,2,12,0,0,2
Yes,Travel_Frequently,Research & Development,1,1,2,3,6074,Yes,24,4,0,3,0,1,1,2
No,Non-Travel,Human Resources,4,4,4,4,17328,Yes,12,3,0,3,4,0,1,0
No,Travel_Rarely,Research & Development,2,3,1,3,2774,No,12,3,1,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,2,2,2,4505,No,15,3,1,3,0,0,0,1
No,Travel_Rarely,Sales,3,3,3,4,7428,No,12,1,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,2,3,1,11631,No,12,4,0,3,5,0,0,1
No,Travel_Frequently,Sales,2,3,3,4,9738,No,14,3,1,3,2,0,0,2
No,Travel_Rarely,Research & Development,1,3,1,4,2835,No,22,1,1,3,0,0,0,1
No,Travel_Frequently,Sales,3,3,4,4,16959,Yes,12,4,2,4,4,0,1,2
No,Travel_Frequently,Research & Development,1,1,1,3,2613,No,25,3,3,2,0,0,0,2
No,Non-Travel,Sales,3,3,2,2,6146,No,13,1,1,4,0,0,0,0
Yes,Travel_Rarely,Research & Development,2,3,1,2,4963,Yes,18,1,3,3,4,1,1,1
No,Travel_Rarely,Research & Development,1,3,5,3,19537,No,13,3,0,3,15,0,0,1
Yes,Travel_Rarely,Sales,2,1,2,3,6172,Yes,18,2,0,2,7,1,1,1
No,Travel_Rarely,Research & Development,3,2,1,2,2368,No,19,3,0,2,4,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,3,4,10312,No,12,4,1,2,15,1,0,1
Yes,Travel_Rarely,Sales,4,3,1,3,1675,Yes,19,4,0,2,0,1,1,1
No,Travel_Rarely,Research & Development,3,3,1,4,2523,No,14,3,1,3,2,0,0,1
No,Travel_Rarely,Research & Development,3,3,2,1,6567,No,14,3,0,2,5,0,0,1
No,Travel_Frequently,Research & Development,2,4,1,3,4739,No,12,4,0,3,1,0,0,2
No,Travel_Frequently,Sales,3,3,3,4,9208,No,11,4,0,3,2,0,0,2
Yes,Travel_Rarely,Sales,2,1,2,3,4559,Yes,11,3,1,3,2,1,1,1
No,Travel_Rarely,Sales,3,3,3,3,8189,Yes,13,3,1,3,0,0,1,1
No,Travel_Rarely,Human Resources,3,3,1,3,2942,No,23,4,1,3,5,0,0,1
No,Travel_Rarely,Research & Development,2,3,2,2,4941,No,20,4,2,3,0,0,0,1
Yes,Travel_Frequently,Research & Development,1,1,3,4,10650,No,15,4,0,3,0,1,0,2
No,Travel_Rarely,Sales,4,2,2,3,5902,No,14,3,1,4,5,0,0,1
No,Travel_Rarely,Sales,1,2,2,3,8639,No,18,4,0,3,2,0,0,1
No,Travel_Rarely,Human Resources,3,3,2,4,6347,Yes,19,4,0,1,4,0,1,1
Yes,Travel_Rarely,Research & Development,1,3,1,1,4200,No,22,1,0,4,0,1,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,3452,No,13,2,0,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,3,4317,Yes,20,2,0,3,2,0,1,1
No,Travel_Rarely,Research & Development,1,3,1,3,2632,No,14,3,0,2,0,0,0,1
No,Travel_Frequently,Sales,4,1,2,4,4668,No,17,4,3,4,0,0,0,2
No,Travel_Rarely,Research & Development,4,3,1,1,3204,No,14,4,1,3,2,0,0,1
No,Travel_Rarely,Research & Development,2,2,1,4,2720,No,13,4,0,3,1,0,0,1
No,Travel_Frequently,Research & Development,4,2,4,1,17181,No,13,2,1,2,7,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,1,2238,No,21,4,1,3,1,0,0,1
No,Travel_Rarely,Research & Development,2,3,1,2,1483,No,14,4,0,3,0,0,0,1
No,Travel_Frequently,Research & Development,2,3,2,2,5605,No,11,1,1,3,2,0,0,2
No,Travel_Rarely,Sales,3,3,3,2,7295,No,13,1,2,3,0,0,0,1
No,Travel_Rarely,Sales,2,3,2,3,2306,Yes,20,4,1,1,4,0,1,1
No,Travel_Rarely,Research & Development,2,3,2,2,2348,No,18,3,1,1,0,0,0,1
No,Travel_Frequently,Sales,2,3,3,4,8998,No,14,4,0,3,3,0,0,2
No,Non-Travel,Research & Development,4,3,2,3,4319,No,13,1,1,3,0,0,0,0
No,Travel_Rarely,Research & Development,2,2,2,3,6132,No,17,3,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,2,1,2,3346,Yes,20,2,1,2,0,0,1,1
No,Travel_Rarely,Sales,3,2,3,4,10855,No,11,1,1,2,2,0,0,1
No,Travel_Frequently,Sales,3,3,1,3,2231,No,18,4,1,3,1,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,4,2323,No,24,1,2,3,2,0,0,1
No,Non-Travel,Research & Development,4,3,1,2,2024,No,18,4,1,1,2,0,0,0
No,Travel_Rarely,Research & Development,3,3,1,4,2713,No,11,3,1,1,0,0,0,1
No,Travel_Rarely,Research & Development,3,4,3,4,9439,Yes,16,2,1,1,1,0,1,1
No,Non-Travel,Research & Development,3,2,1,3,2566,Yes,15,4,1,2,0,0,1,0
No,Travel_Rarely,Research & Development,3,3,5,2,19926,No,15,2,0,3,4,0,0,1
No,Travel_Rarely,Research & Development,1,3,1,3,2451,No,12,1,1,3,1,0,0,1
No,Travel_Rarely,Sales,2,3,3,4,9419,No,12,3,1,3,7,0,0,1
No,Travel_Rarely,Sales,1,2,2,4,8686,No,22,3,0,4,0,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,3,3038,No,20,1,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,2,3058,Yes,16,4,1,2,1,0,1,1
Yes,Travel_Frequently,Sales,3,1,1,1,2325,No,21,1,0,4,0,1,0,2
No,Travel_Frequently,Research & Development,4,3,1,2,2088,No,12,3,0,2,7,0,0,2
No,Non-Travel,Research & Development,3,3,2,1,3072,No,11,3,2,3,6,0,0,0
No,Travel_Rarely,Sales,3,3,2,1,5006,Yes,11,1,1,4,0,0,1,1
No,Travel_Rarely,Research & Development,3,3,1,1,4257,Yes,18,3,1,3,2,0,1,1
No,Travel_Rarely,Research & Development,3,3,1,4,2500,No,14,1,0,4,0,0,0,1
Yes,Travel_Rarely,Research & Development,2,2,1,4,1102,No,22,3,0,2,1,1,0,1
No,Travel_Rarely,Sales,2,3,3,1,10453,No,25,3,3,3,15,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,2288,No,12,3,0,3,2,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,3929,Yes,23,3,1,3,0,0,1,1
No,Travel_Rarely,Research & Development,4,3,1,2,2311,No,15,4,0,3,1,0,0,1
Yes,Travel_Rarely,Sales,2,3,1,2,3140,Yes,22,4,0,2,0,1,1,1
No,Travel_Rarely,Research & Development,3,2,1,3,3690,No,15,4,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,4,2,1,4450,No,11,3,2,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,2,2756,No,13,4,1,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,3,5,3,19033,No,14,2,1,3,9,0,0,1
No,Travel_Rarely,Research & Development,3,4,5,2,18722,No,11,4,0,3,2,0,0,1
No,Travel_Frequently,Research & Development,4,2,2,3,9547,No,17,3,0,2,1,0,0,2
No,Travel_Rarely,Research & Development,4,3,4,2,13734,No,18,3,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,3,2,5,3,19999,No,14,1,1,3,11,0,0,1
No,Travel_Rarely,Research & Development,4,3,1,2,2279,No,16,4,0,2,0,0,0,1
Yes,Travel_Rarely,Research & Development,2,2,2,3,5916,Yes,13,1,0,3,0,1,1,1
No,Non-Travel,Research & Development,4,4,1,4,2089,No,14,4,3,4,2,0,0,0
No,Non-Travel,Research & Development,1,2,4,4,16792,No,23,4,1,3,11,0,0,0
No,Travel_Rarely,Research & Development,2,4,1,1,3564,Yes,12,1,1,2,1,0,1,1
No,Travel_Frequently,Research & Development,2,3,2,2,4425,No,11,4,0,3,1,0,0,2
No,Non-Travel,Research & Development,3,3,2,3,5265,No,16,2,1,3,0,0,0,0
No,Travel_Rarely,Research & Development,4,3,2,3,6553,No,14,2,0,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,4,6261,No,18,1,1,1,1,0,0,1
No,Travel_Frequently,Research & Development,3,2,2,1,4298,No,19,3,1,3,2,0,0,2
No,Non-Travel,Research & Development,4,3,2,4,6804,Yes,15,1,2,3,1,0,1,0
No,Travel_Frequently,Research & Development,4,3,1,3,3815,Yes,17,4,1,4,2,0,1,2
No,Travel_Rarely,Research & Development,3,3,2,4,2741,Yes,15,3,1,4,3,0,1,1
Yes,Travel_Rarely,Research & Development,2,3,2,1,6673,Yes,19,2,0,3,0,1,1,1
Yes,Travel_Rarely,Sales,2,3,3,4,7639,No,22,4,3,2,1,1,0,1
No,Travel_Rarely,Research & Development,4,4,1,2,2328,Yes,16,1,1,2,2,0,1,1
No,Travel_Frequently,Research & Development,2,3,1,4,2153,No,13,1,0,3,1,0,0,2
No,Non-Travel,Research & Development,4,2,2,4,4876,No,14,4,1,1,0,0,0,0
No,Travel_Rarely,Research & Development,4,3,3,1,9396,No,16,3,1,3,0,0,0,1
Yes,Travel_Rarely,Sales,4,1,3,4,10400,No,11,3,0,2,9,1,0,1
No,Non-Travel,Research & Development,3,2,3,3,8474,No,22,3,0,3,5,0,0,0
No,Travel_Frequently,Sales,4,3,2,3,9981,No,14,4,0,3,0,0,0,2
No,Travel_Rarely,Research & Development,2,2,3,2,12490,No,16,4,2,1,4,0,0,1
Yes,Travel_Rarely,Research & Development,4,3,1,1,2657,Yes,11,3,0,3,0,1,1,1
No,Travel_Rarely,Sales,4,3,3,4,13591,Yes,18,3,0,3,0,0,1,1
Yes,Travel_Frequently,Sales,3,2,2,1,6696,No,15,3,0,2,0,1,0,2
Yes,Travel_Rarely,Research & Development,3,3,1,3,2058,No,14,4,0,2,1,1,0,1
No,Non-Travel,Sales,4,2,3,4,8865,No,12,4,0,3,12,0,0,0
No,Travel_Rarely,Sales,4,3,2,1,5940,No,14,4,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,4,3,2,2,5914,No,16,4,0,4,3,0,0,1
No,Travel_Rarely,Research & Development,3,2,1,2,2622,No,21,4,0,3,1,0,0,1
No,Travel_Frequently,Research & Development,2,3,3,4,12185,Yes,14,3,3,3,0,0,1,2
No,Travel_Rarely,Sales,1,3,3,3,10609,No,12,3,2,2,5,0,0,1
No,Non-Travel,Research & Development,3,1,2,3,4345,No,12,4,1,3,1,0,0,0
No,Travel_Rarely,Research & Development,3,2,1,4,2177,No,17,1,1,3,0,0,0,1
No,Travel_Frequently,Sales,1,3,1,4,2793,No,17,3,1,3,5,0,0,2
No,Travel_Frequently,Sales,2,3,3,4,7918,No,14,4,1,3,4,0,0,2
No,Travel_Frequently,Sales,3,3,3,3,8789,No,14,1,0,4,0,0,0,2
Yes,Travel_Rarely,Research & Development,3,2,1,4,2389,Yes,13,3,0,2,0,1,1,1
No,Travel_Rarely,Research & Development,3,2,1,4,3212,No,15,2,0,2,2,0,0,1
No,Travel_Rarely,Research & Development,3,3,5,4,19232,No,11,4,0,3,11,0,0,1
No,Travel_Rarely,Human Resources,2,3,1,3,2267,No,17,4,0,2,2,0,0,1
No,Travel_Rarely,Sales,4,3,5,4,19517,No,11,3,1,2,0,0,0,1
Yes,Travel_Rarely,Research & Development,3,3,1,4,2436,Yes,13,3,1,1,0,1,1,1
No,Travel_Rarely,Sales,4,3,4,4,16064,Yes,22,3,1,3,1,0,1,1
Yes,Travel_Rarely,Research & Development,1,3,1,1,2707,No,20,1,0,4,1,1,0,1
No,Non-Travel,Sales,1,2,5,3,19068,Yes,18,4,0,4,15,0,1,0
No,Travel_Rarely,Sales,3,3,1,2,3931,No,11,1,1,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,4,2,1,3,3730,Yes,14,4,0,1,1,1,1,1
No,Travel_Rarely,Research & Development,3,3,1,3,2232,No,14,3,3,3,1,0,0,1
No,Non-Travel,Sales,3,3,2,4,4465,No,18,1,0,3,2,0,0,0
No,Travel_Rarely,Research & Development,3,3,2,1,3072,No,16,1,2,2,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,2,4,3319,No,17,1,2,3,4,0,0,1
No,Travel_Rarely,Research & Development,3,4,5,4,19202,No,11,3,1,3,1,0,0,1
No,Travel_Frequently,Research & Development,2,3,3,3,13675,No,12,1,1,3,2,0,0,2
No,Travel_Rarely,Research & Development,3,2,1,4,2911,No,13,3,1,2,0,0,0,1
No,Travel_Rarely,Research & Development,4,2,2,1,5957,No,13,2,1,3,5,0,0,1
No,Travel_Rarely,Research & Development,3,2,1,1,3920,No,14,1,1,2,0,0,0,1
No,Travel_Frequently,Research & Development,1,4,2,3,6434,No,17,4,1,3,0,0,0,2
Yes,Travel_Frequently,Research & Development,1,3,3,3,10048,No,11,2,2,3,0,1,0,2
No,Travel_Frequently,Research & Development,3,3,3,3,10938,No,25,4,0,3,11,0,0,2
No,Travel_Rarely,Research & Development,3,3,1,4,2340,No,19,1,0,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,4,2,1,6545,Yes,13,3,0,3,0,0,1,1
No,Travel_Rarely,Sales,4,3,2,4,6931,No,14,4,1,3,0,0,0,1
No,Travel_Rarely,Research & Development,1,3,2,3,4898,No,12,4,2,3,1,0,0,1
No,Travel_Rarely,Research & Development,4,2,1,1,2593,Yes,11,3,1,3,7,0,1,1
No,Travel_Rarely,Research & Development,1,3,5,3,19436,No,19,4,1,3,3,0,0,1
No,Travel_Rarely,Research & Development,3,3,1,4,2723,No,11,2,0,2,0,0,0,1
Yes,Travel_Frequently,Research & Development,3,2,1,2,3479,No,11,2,0,4,1,1,0,2
No,Travel_Frequently,Research & Development,2,4,1,2,2794,No,20,3,0,1,0,0,0,2
No,Non-Travel,Sales,4,2,2,4,5249,No,18,4,1,3,7,0,0,0
No,Travel_Rarely,Research & Development,4,2,2,1,2176,No,13,4,0,3,0,0,0,1
No,Travel_Rarely,Sales,3,1,4,2,16872,Yes,12,2,1,2,7,0,1,1
Yes,Travel_Rarely,Research & Development,1,3,1,3,3485,No,11,3,0,1,0,1,0,1
No,Travel_Rarely,Sales,1,2,2,2,6644,No,19,2,2,3,0,0,0,1
No,Travel_Rarely,Research & Development,2,2,2,4,5582,No,21,2,1,3,7,0,0,1
No,Non-Travel,Research & Development,2,4,2,1,4000,No,12,4,2,3,1,0,0,0
No,Travel_Rarely,Research & Development,3,3,4,4,13496,Yes,14,2,0,3,4,0,1,1
No,Travel_Rarely,Research & Development,4,3,1,4,3210,No,11,3,1,3,10,0,0,1
No,Travel_Rarely,Research & Development,4,3,5,1,19045,Yes,14,3,0,3,4,0,1,1
Yes,Non-Travel,Research & Development,1,3,3,2,11849,Yes,12,4,1,2,9,1,1,0
No,Travel_Rarely,Research & Development,4,3,1,4,2070,No,23,4,1,2,0,0,0,1
No,Travel_Rarely,Sales,3,3,2,4,6502,No,14,2,1,4,0,0,0,1
No,Travel_Rarely,Research & Development,4,2,1,3,3230,No,17,1,0,4,1,0,0,1
No,Non-Travel,Research & Development,1,3,3,4,13603,Yes,18,1,2,3,0,0,1,0
No,Travel_Rarely,Research & Development,2,4,3,2,11996,No,18,2,1,2,6,0,0,1
No,Travel_Rarely,Sales,1,4,2,1,5605,Yes,24,3,1,3,7,0,1,1
No,Travel_Frequently,Research & Development,3,3,2,2,6397,No,20,1,1,1,1,0,0,2
No,Travel_Rarely,Research & Development,1,3,5,2,19144,No,14,1,2,2,1,0,0,1
No,Travel_Rarely,Research & Development,3,3,4,3,17584,Yes,16,4,3,2,1,0,1,1
No,Travel_Rarely,Sales,2,3,2,3,4907,No,25,3,0,3,11,0,0,1
No,Travel_Frequently,Sales,2,3,2,4,4554,No,18,1,0,2,0,0,0,2
No,Travel_Rarely,Research & Development,2,3,2,4,5415,Yes,19,4,1,3,0,0,1,1
No,Travel_Frequently,Research & Development,1,3,2,1,4741,Yes,13,3,1,3,3,0,1,2
No,Travel_Rarely,Research & Development,4,3,1,4,2115,No,12,2,0,3,5,0,0,1
Yes,Travel_Frequently,Research & Development,4,3,1,3,3161,Yes,22,4,1,1,0,1,1,2
No,Travel_Rarely,Research & Development,4,3,2,4,5745,No,14,2,1,3,1,0,0,1
Yes,Travel_Rarely,Research & Development,1,3,1,2,2373,Yes,13,4,1,3,0,1,1,1
No,Travel_Rarely,Research & Development,4,3,1,4,3310,No,21,4,0,3,0,0,0,1
No,Travel_Frequently,Research & Development,3,3,5,1,18665,Yes,11,4,0,3,1,0,1,2
No,Travel_Rarely,Research & Development,3,3,2,2,4485,No,12,4,0,3,7,0,0,1
No,Travel_Frequently,Sales,4,3,1,2,2789,No,11,3,1,2,2,0,0,2
Yes,Travel_Rarely,Sales,4,2,2,4,5828,Yes,12,2,0,3,7,1,1,1
No,Travel_Frequently,Research & Development,2,3,1,4,2326,Yes,12,3,3,2,1,0,1,2
No,Travel_Frequently,Sales,3,3,4,2,13525,No,14,4,1,4,4,0,0,2
